id,name,date,star,text
1,合興飲食店,2017/05/18,4,"""種類很多可以選擇"""
2,合興飲食店,2017/05/18,5,"""好吃 價格公道 推搶鍋麵"""
3,合興飲食店,2017/05/18,4,"""牛肉炒飯很好吃～"""
4,合興飲食店,2018/05/18,4,"""不經濟實惠"""
5,合興飲食店,2018/05/18,5,"""好吃 好吃 價格在山上來說 算公道了(雖然已經漲價) 用餐環境 清潔，就外來客不好停車"""
6,合興飲食店,2018/05/18,4,"""我覺得東西整體還行，但有點油，只是價格有點偏高"""
7,合興飲食店,2018/05/18,4,"""東西很好吃"""
8,合興飲食店,2018/05/18,3,"""臨時到附近，填個肚子100元以內，牛肉炒飯…尚可！炸排骨美味！"""
9,合興飲食店,2018/05/18,5,"""老闆人很讚"""
10,合興飲食店,2018/05/18,5,"""搶鍋麵好吃！"""
11,合興飲食店,2019/05/18,5,"""比較重口味，份量很實在"""
12,合興飲食店,2019/05/18,4,"""炒飯好吃呀"""
13,合興飲食店,2019/05/18,4,"""巷子裡的好美味 ，湯很大碗 。 價格實在。"""
14,合興飲食店,2019/05/18,3,""" 便宜的食物，，"""
15,合興飲食店,2019/05/18,5,"""推件搶鍋麵 雞腿排飯(juicy到出水) 推薦"""
16,合興飲食店,2019/05/18,5,"""經常是陽明山上學生們的的晚餐，好吃份量多"""
17,合興飲食店,2019/05/18,5,"""有外送。很貼心。"""
18,合興飲食店,2019/05/18,5,"""陽明山上的老店，好吃又不貴，很適合學生或小資"""
19,合興飲食店,2019/05/18,5,"""蜜汁雞丁超好吃"""
20,合興飲食店,2019/05/18,5,"""東西都好吃 蜜汁雞丁讚"""
21,合興飲食店,2019/08/18,4,""" 便宜好吃，，"""
22,合興飲食店,2019/09/18,2,"""東西好吃 但是貴 除了炒飯那些 一份接近100"""
23,合興飲食店,2019/10/18,5,"""學生時期的回憶。，唸華岡文化的人會懂。，，搶鍋麵是我的最愛！那個湯頭👍，炒飯也很讓人懷念。，便宜又好吃！"""
24,合興飲食店,2020/02/18,5,"""炒飯好吃"""
25,合興飲食店,2020/03/18,5,"""雞排超棒!!!"""
26,合興飲食店,2020/03/18,3,""" 這道菜的味道還不錯。價格也合理。您也可以免費喝茶。，，"""
