id,name,date,star,text
1,熊饍堂,2017/05/14,5,"""料鮮實在，道道名菜！"""
2,熊饍堂,2018/05/14,5,"""獨特味道的熱炒"""
3,熊饍堂,2018/05/14,4,"""菜色實在"""
4,熊饍堂,2018/05/14,5,""" 食物好吃，，"""
5,熊饍堂,2018/05/14,4,"""不錯吃 但還是不可避免的略油了一點"""
6,熊饍堂,2018/05/14,5,"""常去吃，非常好吃；但最近一兩個月變油了⋯⋯希望回到之前的口味⋯⋯"""
7,熊饍堂,2018/05/14,4,"""金沙豆腐不錯，可是現在點菜後要等久一點比較可惜。"""
8,熊饍堂,2018/05/14,4,"""比平常熱炒店在好吃一些的熱炒店"""
9,熊饍堂,2018/05/14,4,"""好吃的家常菜，可以讓我挑嘴的女兒吃兩碗飯。"""
10,熊饍堂,2019/05/14,5,"""中午在熊饍堂吃飯，很舒服，他的菜不鹹，又不油膩，很好吃，老闆很親切。"""
11,熊饍堂,2019/05/14,1,""" 不好吃，，"""
12,熊饍堂,2019/05/14,5,"""好吃！廚師手藝不錯！"""
13,熊饍堂,2019/05/14,4,"""上菜很慢，貌似師傅只有一個，但CP值高，趕時間的人不要來"""
14,熊饍堂,2019/05/14,4,"""重視食材 手藝精湛 環境尚可"""
15,熊饍堂,2019/05/14,5,"""份量足夠~"""
16,熊饍堂,2019/05/14,5,"""台式熱炒，口味好，速度快"""
17,熊饍堂,2019/05/14,5,"""東西好吃，價錢合理"""
18,熊饍堂,2019/05/14,1,"""既然公開，我就把對你們的菜說嘴一番。 首先，我點了蘆筍蝦仁，這道菜，蝦仁死硬的老，蘆筍完全沒有嚼感。 整道菜完全沒有菜香。 另外點了一道牛肉，你們還跟我說熬煮需要時間，我也耐心的等待了。 帶回去之後，牛肉完全沒入味，有味道的是花椰菜？ 我很少對一個店家提出如此的評論。感謝你們花時間讓我吃了一頓不知所云的餐點。 最後，價位太高，沒有應有的回報。"""
19,熊饍堂,2019/05/14,5,"""東西好吃，白飯忍不住吃好幾碗！"""
20,熊饍堂,2019/05/14,3,"""菜的量比較少"""
21,熊饍堂,2019/05/14,4,""" 食物還可以。，，"""
22,熊饍堂,2019/05/14,4,"""餐點口味都不錯，酸白菜鍋酸甘味足夠滿喜歡的。用餐時間如果同時點菜的桌數多，需要等候一些時間。"""
23,熊饍堂,2019/05/14,4,"""有幾樣讓人驚艷的家常菜，可惜份量較少。"""
24,熊饍堂,2019/05/14,4,""" 好吃，，"""
25,熊饍堂,2019/05/14,1,"""女店員（應是女老闆）服務態度不好, 另外我們覺得冷，請她關電扇，卻說其他人可能會熱, 明明大家都穿長袖和外套,然後就繼續忙她的,也沒處理，然後我們就一直在那環境吃完飯,拜託處理事情或說話考慮一下客人的感受"""
26,熊饍堂,2019/05/14,5,"""完整食記，請搜尋：南河雜俎（ㄗㄨˇ），，不太常找中餐廳用餐，主要是無法暢所欲為。都是一道道菜，份量來個一盤不過癮，來了兩盤一個人也撐死了，但是在口味的豐富度上又沒得到滿足和快感。，　，某日在用餐前於Google上亂找，發現了這家並不遠，二話不說立馬殺過去瞧瞧。已經過了假日中午用餐的高峰時間，店內依然有個八成滿，而且明顯有人還在等著外帶，生意著實很不惡！店內都是家庭乃至於家族式聚餐，看樣子是適合團體聚餐的地方。還好沒見到飲酒喧嘩的那種，單純聊天有點欲罷不能的模樣而已。，　 …"""
27,熊饍堂,2019/05/14,4,"""平價美味料理"""
28,熊饍堂,2019/05/14,4,"""很不錯的用餐環境，菜色也在中上水準。值得推薦的餐廳 👍"""
29,熊饍堂,2019/06/14,4,"""不錯"""
30,熊饍堂,2019/06/14,4,"""食材佳，味道好，值得再來的餐廳！"""
31,熊饍堂,2019/06/14,4,"""服務親切，食物可口，整體上還不錯！"""
32,熊饍堂,2019/07/14,5,"""今天外帶點的是法式松板豬肉，和金沙排骨，山椒薄片*2(超推薦)，都很好吃，口味也很棒，我們家超愛的蛋炒飯是隱藏版的菜單"""
33,熊饍堂,2019/07/14,4,"""炒水蓮【$120】：好吃！，蝦仁海鮮豆腐：好下飯，像蛋豆腐~，陶盤松阪豬：也不錯~，最後招待甜點“拔絲地瓜”比較甜一些，也好吃，如果甜度低點就太棒了~"""
34,熊饍堂,2019/08/14,1,"""服務態度差"""
35,熊饍堂,2019/09/14,5,"""菜色不錯"""
36,熊饍堂,2019/12/14,5,""" 大推金沙豆腐💕，，"""
37,熊饍堂,2019/12/14,5,""" 好好吃，，"""
38,熊饍堂,2020/01/14,5,""" 便宜好吃，，"""
39,熊饍堂,2020/01/14,5,"""生意很好適合家庭聚會的餐廳，建議先訂位。"""
40,熊饍堂,2020/02/14,5,""" 好吃，，"""
41,熊饍堂,2020/02/14,5,"""烹飪很有特色的餐廳，食材鮮美，而且消費普通，可惜店裡桌次稍嫌不足，經常需要訂位"""
42,熊饍堂,2020/03/14,5,"""好吃小館，文山區的好廚房，聚餐吃飯兩相宜"""
43,熊饍堂,2020/04/14,1,"""我住興隆路二段，一直在尋找附近美食餐廳，如果有親友來訪以便招待，所以就去熊膳堂點一份五更腸旺外帶，結果大失所望非常難吃，他們的腸旺竟然加那麼多糖，不知是廚師不爽做，還是瞧不起一份外帶，這樣的店及經營態度，如果不知改進，我可預測遲早關門，我一顆星都不給。"""
